INSTNM,CITY,STABBR,CONTROL,LATITUDE,LONGITUDE,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,MD_EARN_WNE_P10,DEBT_MDN,ADM_RATE,SAT_AVG,ACTCM50,UGDS
Alabama A & M University,Normal,AL,1,34.783368,-86.568502,23751.0,10024.0,18634.0,40628.0,16600,0.6622,947.0,17.0,5726.0
University of Alabama at Birmingham,Birmingham,AL,1,33.505697,-86.799345,27826.0,8832.0,21864.0,54501.0,15832,0.8842,1251.0,26.0,12118.0
Amridge University,Montgomery,AL,2,32.362609,-86.17401,,,,37621.0,13385,,,,226.0
University of Alabama in Huntsville,Huntsville,AL,1,34.724557,-86.640449,27098.0,11770.0,24662.0,61767.0,13905,0.7425,1321.0,28.0,6650.0
Alabama State University,Montgomery,AL,1,32.364317,-86.295677,22028.0,11248.0,19576.0,34502.0,17500,0.9564,977.0,18.0,3322.0
The University of Alabama,Tuscaloosa,AL,1,33.211875,-87.545978,32024.0,11900.0,33200.0,59221.0,17986,0.7582,1287.0,27.0,32323.0
Athens State University,Athens,AL,1,34.806793,-86.964698,,,,50273.0,14861,,,,2407.0
Auburn University at Montgomery,Montgomery,AL,1,32.36736,-86.177544,21873.0,9436.0,20092.0,44391.0,13119,0.9263,1090.0,21.0,2693.0
Auburn University,Auburn,AL,1,32.599378,-85.488258,34402.0,12536.0,33944.0,65337.0,17750,0.5047,1318.0,28.0,25732.0
Birmingham-Southern College,Birmingham,AL,2,33.513774,-86.850552,38385.0,22750.0,22750.0,59481.0,16000,0.5194,1197.0,24.0,713.0
South University-Montgomery,Montgomery,AL,3,32.342684,-86.216488,30704.0,18238.0,18238.0,34421.0,13000,,,,302.0
Faulkner University,Montgomery,AL,2,32.384181,-86.21641,36910.0,23920.0,23920.0,43457.0,15000,0.6613,1016.0,19.0,1555.0
Huntingdon College,Montgomery,AL,2,32.351034,-86.284366,39686.0,28650.0,28650.0,49601.0,20000,0.7083,1148.0,23.0,865.0
Heritage Christian University,Florence,AL,2,34.856153,-87.663051,,11982.0,11982.0,42597.0,PS,1.0,,,63.0
Jacksonville State University,Jacksonville,AL,1,33.822938,-85.765321,23422.0,12426.0,22716.0,45235.0,14000,0.7622,1055.0,20.0,7030.0
University of West Alabama,Livingston,AL,1,32.588132,-88.186329,22402.0,10990.0,20090.0,44232.0,13000,0.8711,1015.0,19.0,2666.0
Miles College,Fairfield,AL,2,33.482442,-86.908751,22900.0,12714.0,12714.0,32627.0,15691,,,,1151.0
University of Mobile,Mobile,AL,2,30.793247,-88.128934,38731.0,26120.0,26120.0,43611.0,19000,0.7251,1220.0,25.0,1079.0
University of Montevallo,Montevallo,AL,1,33.10625,-86.865099,26233.0,13710.0,26730.0,42957.0,16000,0.539,,,2087.0
University of North Alabama,Florence,AL,1,34.80731,-87.680407,22086.0,11990.0,22190.0,45415.0,15781,0.9648,,,5468.0
Oakwood University,Huntsville,AL,2,34.756344,-86.652705,38592.0,21838.0,21838.0,42488.0,21500,0.5051,,,1253.0
Samford University,Birmingham,AL,2,33.464128,-86.791799,53934.0,38144.0,38144.0,58469.0,15750,0.8223,1203.0,25.0,3828.0
Selma University,Selma,AL,2,32.420387,-87.032392,,4800.0,4800.0,,,,,,34.0
University of South Alabama,Mobile,AL,1,30.696033,-88.178711,22070.0,9676.0,18652.0,49379.0,17750,0.6549,1119.0,22.0,8540.0
Spring Hill College,Mobile,AL,2,30.694751,-88.138199,37172.0,23270.0,23270.0,51500.0,21500,0.591,1090.0,21.0,850.0
Stillman College,Tuscaloosa,AL,2,33.200006,-87.585278,23485.0,11392.0,11392.0,35421.0,16000,0.7422,,,761.0
Talladega College,Talladega,AL,2,33.433472,-86.112704,23441.0,15650.0,15650.0,32229.0,15000,0.9925,,,782.0
Troy University,Troy,AL,1,31.799583,-85.95802,21816.0,9792.0,19584.0,42062.0,15985,0.9261,1086.0,21.0,10089.0
Tuskegee University,Tuskegee,AL,2,32.4309,-85.708492,41924.0,23440.0,23440.0,49641.0,21250,0.3143,1121.0,22.0,2367.0
United States Sports Academy,Daphne,AL,2,30.639329,-87.91163,,18900.0,18900.0,55257.0,10976,0.3529,,,136.0
University of Alaska Anchorage,Anchorage,AK,1,61.190163,-149.82619,21848.0,7566.0,21693.0,51871.0,11231,0.6652,,,6916.0
Alaska Bible College,Palmer,AK,2,61.598553,-149.111972,22101.0,10930.0,10930.0,,PS,,,,34.0
University of Alaska Fairbanks,Fairbanks,AK,1,64.85756,-147.823146,21182.0,8640.0,22752.0,48866.0,11283,,,,4027.0
Alaska Pacific University,Anchorage,AK,2,61.190968,-149.804168,34964.0,20760.0,20760.0,54271.0,12696,0.8621,,,400.0
Brookline College-Phoenix,Phoenix,AZ,3,33.566102,-112.112473,,,,29576.0,9500,,,,714.0
Arizona State University Campus Immersion,Tempe,AZ,1,33.417721,-111.934383,28047.0,12051.0,32193.0,62668.0,13610,0.9019,,,64398.0
University of Arizona,Tucson,AZ,1,32.232672,-110.950815,28543.0,13626.0,41095.0,59979.0,13750,0.8566,1261.0,26.0,40769.0
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,2,34.616766,-112.449741,60158.0,42204.0,42204.0,84131.0,14250,0.7519,1256.0,26.0,3245.0
Grand Canyon University,Phoenix,AZ,3,33.513231,-112.129929,31493.0,17450.0,17450.0,42186.0,12500,0.6036,1095.0,21.0,68619.0
Northern Arizona University,Flagstaff,AZ,1,35.188449,-111.653724,29495.0,12652.0,28900.0,54384.0,12916,0.9095,,,23041.0
Prescott College,Prescott,AZ,2,34.5452,-112.477185,47228.0,35685.0,35685.0,42359.0,12500,0.9857,,,253.0
Arizona Christian University,Glendale,AZ,2,33.622952,-112.181776,50950.0,34697.0,34697.0,51612.0,6251,0.7442,,,1127.0
University of Arkansas at Little Rock,Little Rock,AR,1,34.723254,-92.339778,21013.0,8455.0,19210.0,45265.0,14500,0.5774,1049.0,20.0,4740.0
University of Arkansas for Medical Sciences,Little Rock,AR,1,34.750152,-92.322348,,,,73827.0,13000,,,,1361.0
Arkansas Baptist College,Little Rock,AR,2,34.734751,-92.290555,22626.0,8760.0,8760.0,28418.0,8250,,,,373.0
Lyon College,Batesville,AR,2,35.777619,-91.625354,44943.0,31000.0,31000.0,44232.0,10699,0.6554,,,563.0
University of Arkansas,Fayetteville,AR,1,36.070009,-94.176981,26161.0,9748.0,28772.0,58191.0,15749,0.7167,1174.0,24.0,27312.0
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,34.244031,-92.018683,20907.0,9019.0,17029.0,35550.0,14328,0.5754,916.0,16.0,1899.0
Arkansas State University,Jonesboro,AR,1,35.842388,-90.679988,22823.0,7754.0,13826.0,42617.0,15000,0.6967,1119.0,22.0,7994.0
University of Central Arkansas,Conway,AR,1,35.077945,-92.457672,24265.0,10118.0,17258.0,45938.0,13000,0.9047,1117.0,22.0,7426.0
Central Baptist College,Conway,AR,2,35.083838,-92.445021,27468.0,19680.0,19680.0,46789.0,12876,0.4636,1022.0,19.0,477.0
Crowley's Ridge College,Paragould,AR,2,36.064845,-90.584395,25817.0,16440.0,16440.0,39533.0,13918,,,,162.0
Harding University,Searcy,AR,2,35.247386,-91.726143,36385.0,24888.0,24888.0,52876.0,21601,1.0,1187.0,24.0,3323.0
Henderson State University,Arkadelphia,AR,1,34.128155,-93.059703,25946.0,7885.0,9882.0,43459.0,12000,0.8192,,,1491.0
Hendrix College,Conway,AR,2,35.101565,-92.443256,52396.0,36650.0,36650.0,60376.0,19500,0.5298,1336.0,29.0,1094.0
John Brown University,Siloam Springs,AR,2,36.189812,-94.560283,43260.0,30832.0,30832.0,53907.0,17000,0.6764,1222.0,25.0,1415.0
Ouachita Baptist University,Arkadelphia,AR,2,34.126093,-93.052471,45132.0,32480.0,32480.0,51673.0,15000,0.6852,1212.0,25.0,1612.0
University of the Ozarks,Clarksville,AR,2,35.476278,-93.467221,35391.0,25950.0,25950.0,44384.0,11000,0.5814,1088.0,21.0,753.0
Philander Smith University,Little Rock,AR,2,34.737131,-92.283015,26729.0,13014.0,13014.0,38427.0,14750,,,,842.0
Williams Baptist University,Walnut Ridge,AR,2,36.125676,-90.940277,32222.0,20330.0,20330.0,38484.0,9500,0.5888,1018.0,19.0,490.0
Southern Arkansas University Main Campus,Magnolia,AR,1,33.291618,-93.235922,24721.0,9820.0,15400.0,42386.0,12500,0.6659,1050.0,20.0,2865.0
University of Arkansas-Fort Smith,Fort Smith,AR,1,35.384184,-94.373729,18052.0,6906.0,13770.0,41102.0,10750,0.8147,1050.0,20.0,4133.0
Academy of Art University,San Francisco,CA,3,37.787943,-122.400578,47195.0,28024.0,28024.0,39008.0,11000,,,,4131.0
Art Center College of Design,Pasadena,CA,2,34.169031,-118.185102,71652.0,51640.0,51640.0,71958.0,26000,0.7498,,,2054.0
Azusa Pacific University,Azusa,CA,2,34.130047,-117.888375,54735.0,43600.0,43600.0,66677.0,19710,0.7948,1155.0,24.0,2977.0
Bethesda University,Anaheim,CA,2,33.842295,-117.941323,11766.0,7220.0,7220.0,,7648,,,,212.0
Biola University,La Mirada,CA,2,33.906203,-118.014374,58430.0,46704.0,46704.0,56778.0,19000,0.6008,1258.0,28.0,3390.0
California Institute of Integral Studies,San Francisco,CA,2,37.774924,-122.416102,,,,48848.0,18750,,,,57.0
California Baptist University,Riverside,CA,2,33.929321,-117.425619,52408.0,39720.0,39720.0,61504.0,20500,0.7357,,,7914.0
California College of the Arts,San Francisco,CA,2,37.767485,-122.399451,78664.0,57946.0,57946.0,49414.0,19500,0.734,,,1004.0
California Institute of Technology,Pasadena,CA,2,34.137349,-118.125878,83598.0,63255.0,63255.0,128566.0,12000,0.0314,,,1023.0
California Lutheran University,Thousand Oaks,CA,2,34.224566,-118.878924,63768.0,50670.0,50670.0,68712.0,18970,0.8888,1224.0,26.0,2374.0
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1,35.299513,-120.657311,29918.0,11075.0,30995.0,90768.0,15396,0.2975,,,21521.0
California State University-Bakersfield,Bakersfield,CA,1,35.350005,-119.104711,18815.0,7696.0,19576.0,59009.0,11270,0.8819,,,8183.0
California State University-Stanislaus,Turlock,CA,1,37.52577,-120.852511,18542.0,7826.0,19706.0,63188.0,11750,0.9747,,,8564.0
